dataset,delayed,depth,impurtiy,rel error,accuracy,,,dataset,delayed,depth,impurtiy,rel error,accuracy,
wine,0,6,388,6.24765,54.5455,,,,,,,,,
wine,0,6,397,6.07837,55.7994,,,,,,,,,
wine,0,6,406,6.15047,54.5455,,,,,,,,,
wine,0,6,407,6.10972,56.4263,,,,,,,,,
wine,1,1,581,6.13166,58.3072,,,,,,,,,
wine,1,1,562,6.30094,52.3511,,,,,,,,,
wine,1,1,558,6.09404,54.8589,,,,,,,,,
wine,1,1,644,6.25078,47.6489,,,,,,,,,
wine,1,1,614,6.25392,45.4545,,,,,,,,,
wine,1,2,562,6.12226,58.3072,,,,,,,,,
wine,1,2,562,6.30094,52.3511,,,,,,,,,
wine,1,2,558,6.09404,54.8589,,,,,,,,,
wine,1,2,627,6.2163,47.6489,,,,,,,,,
wine,1,2,557,6.2163,49.2163,,,,,,,,,
wine,1,3,513,6.1348,57.6803,,,,,,,,,
wine,1,3,532,6.18495,59.2476,,,,,,,,,
wine,1,3,528,6.09718,53.2915,,,,,,,,,
wine,1,3,498,6.1125,57.9937,,,,,,,,,
wine,1,3,510,6.15047,53.9185,,,,,,,,,
wine,1,4,488,6.16614,56.1129,,,,,,,,,
wine,1,4,492,6.15674,61.442,,,,,,,,,
wine,1,4,466,6.05643,56.4263,,,,,,,,,
wine,1,4,472,6.16301,53.9185,,,,,,,,,
wine,1,4,474,6.13793,54.232,,,,,,,,,
wine,1,5,458,6.17241,54.8589,,,,,,,,,
wine,1,5,460,6.23198,57.6803,,,,,,,,,
wine,1,5,436,6.03448,58.9342,,,,,,,,,
wine,1,5,418,6.10972,59.2476,,,,,,,,,
wine,1,5,429,6.13166,54.5455,,,,,,,,,
wine,1,6,392,6.15047,57.3668,,,,,,,,,
wine,1,6,402,6.18495,61.1285,,,,,,,,,
wine,1,6,397,6.03135,58.9342,,,,,,,,,
wine,1,6,380,6.11599,58.6207,,,,,,,,,
wine,1,6,400,6.10658,57.6803,,,,,,,,,
