dataset,delayed,depth,impurtiy,rel error,mae,,dataset,delayed,depth,impurtiy,rel error,accuracy,mae,
cars,0,4,3933,26.8438,2.77544,,,,,,,,,
cars,0,4,3345.12,26.6558,3.28361,,,,,,,,,
cars,0,4,3431.98,27.5676,3.60308,,,,,,,,,
cars,0,4,3584.63,26.77,2.92819,,,,,,,,,
cars,0,4,3549.18,28.1116,3.77742,,,,,,,,,
cars,0,5,3659.76,26.9651,2.8967,,,,,,,,,
cars,0,5,3090.13,26.6138,3.24168,,,,,,,,,
cars,0,5,3097.59,27.6541,3.68954,,,,,,,,,
cars,0,5,3214.84,26.7311,2.88928,,,,,,,,,
cars,0,5,3170.98,28.0111,3.67688,,,,,,,,,
cars,0,6,3409.49,27.1681,3.09976,,,,,,,,,
cars,0,6,3024.3,26.6396,3.26748,,,,,,,,,
cars,0,6,2997.65,27.6487,3.68415,,,,,,,,,
cars,0,6,3065.95,26.7493,2.90756,,,,,,,,,
cars,0,6,3090.75,28.1963,3.86215,,,,,,,,,
cars,1,1,8434.31,27.6604,3.59202,,,,,,,,,
cars,1,1,8280.31,27.1319,3.75977,,,,,,,,,
cars,1,1,8219.06,27.7745,3.80991,,,,,,,,,
cars,1,1,8184.66,27.9206,4.07877,,,,,,,,,
cars,1,1,7730.38,28.6097,4.27549,,,,,,,,,
cars,1,2,5435.03,26.8443,2.77591,,,,,,,,,
cars,1,2,4722.26,26.948,3.57584,,,,,,,,,
cars,1,2,4774.19,27.4164,3.45185,,,,,,,,,
cars,1,2,5137.51,26.8525,3.01069,,,,,,,,,
cars,1,2,6289.41,28.4907,4.15651,,,,,,,,,
cars,1,3,4636.54,26.54,2.47164,,,,,,,,,
cars,1,3,4086.91,26.8201,3.44796,,,,,,,,,
cars,1,3,4243.51,27.6359,3.6713,,,,,,,,,
cars,1,3,4321.74,26.7513,2.90953,,,,,,,,,
cars,1,3,4082.29,28.2926,3.95841,,,,,,,,,
cars,1,4,3703.08,26.7111,2.64275,,,,,,,,,
cars,1,4,3551.75,26.6073,3.23516,,,,,,,,,
cars,1,4,3879.42,27.4794,3.5148,,,,,,,,,
cars,1,4,3702.99,26.7341,2.89236,,,,,,,,,
cars,1,4,3324.41,28.3794,4.04526,,,,,,,,,
cars,1,5,3197.77,26.8739,2.80556,,,,,,,,,
cars,1,5,3030.95,26.4233,3.0511,,,,,,,,,
cars,1,5,3099.34,27.5169,3.55239,,,,,,,,,
cars,1,5,3310.26,26.8635,3.02177,,,,,,,,,
cars,1,5,2789.3,28.4813,4.14709,,,,,,,,,
cars,1,6,3098.56,26.9902,2.92186,,,,,,,,,
cars,1,6,2900.41,26.4986,3.1264,,,,,,,,,
cars,1,6,3026.42,27.4582,3.49364,,,,,,,,,
cars,1,6,3234.84,26.8757,3.03389,,,,,,,,,
cars,1,6,2670.71,28.3909,4.05667,,,,,,,,,
