dataset,delayed,depth,impurity,relerror,accuracy
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
fashion-mnist_train,
