0.640135 vs. 1
0.607686 vs. 1
0.566959 vs. 1
0.921027 vs. 1
0.301065 vs. -1
0.607686 vs. 1
0.566959 vs. 1
0.566959 vs. 1
-0.88 vs. -1
0.566959 vs. 1
0.640135 vs. 1
0.566959 vs. 1
0.607686 vs. 1
0.751938 vs. 1
0.566959 vs. 1
0.607686 vs. 1
0.993047 vs. 1
0.566959 vs. 1
0.607686 vs. 1
0.607686 vs. 1
0.607686 vs. 1
0.301065 vs. -1
0.301065 vs. 1
-0.0512821 vs. -1
-0.761905 vs. 0
0.301065 vs. -1
0.236295 vs. 1
0.641393 vs. 1
0.640135 vs. 1
0.921027 vs. 1
0.607686 vs. 1
-0.493671 vs. 1
0.641393 vs. 1
0.024 vs. -1
0.930915 vs. 1
0.566959 vs. 1
0.640135 vs. 1
0.566959 vs. 1
0.640135 vs. 1
0.921027 vs. 1
0.607686 vs. 1
0.607686 vs. 1
0.607686 vs. 1
0.607686 vs. -1
0.566959 vs. 1
0.641393 vs. -1
0.607686 vs. 1
0.607686 vs. 1
-0.493671 vs. -1
0.301065 vs. 1
0.607686 vs. 1
0.607686 vs. 1
0.607686 vs. -1
0.301065 vs. -1
0.236295 vs. 1
0.607686 vs. 1
0.641393 vs. -1
0.301065 vs. -1
-0.534091 vs. 1
0.0609756 vs. 1
0.236295 vs. 0
0.301065 vs. -1
0.579545 vs. -1
0.686825 vs. 1
0.301065 vs. 1
0.566959 vs. 1
0.301065 vs. -1
0.236295 vs. -1
0.642166 vs. 1
0.566959 vs. 1
0.301065 vs. 1
0.301065 vs. 1
0.301065 vs. -1
0.301065 vs. -1
-0.493671 vs. -1
0.0609756 vs. 1
0.301065 vs. -1
0.640135 vs. 1
0.641393 vs. -1
0.921027 vs. 1
0.640135 vs. 1
0.301065 vs. 1
0.301065 vs. -1
0.301065 vs. 1
0.236295 vs. -1
0.566959 vs. 1
0.236295 vs. 1
0.301065 vs. 1
0.566959 vs. -1
0.0609756 vs. 1
0.301065 vs. 1
0.341463 vs. 0
0.236295 vs. -1
0.236295 vs. -1
-0.739437 vs. 0
0.641393 vs. -1
0.71875 vs. 1
0.641393 vs. 1
0.236295 vs. 1
0.607686 vs. 1
0.835165 vs. 1
0.641393 vs. -1
0.341463 vs. 1
0.88587 vs. 1
0.641393 vs. -1
0.641393 vs. 1
0.579545 vs. 1
0.607686 vs. -1
0.641393 vs. -1
0.301065 vs. 1
0.641393 vs. -1
0.236295 vs. 1
0.236295 vs. 1
0.236295 vs. -1
0.641393 vs. 1
0.236295 vs. 1
0.751938 vs. 1
0.640135 vs. -1
-0.493671 vs. -1
0.301065 vs. 1
0.566959 vs. 1
0.641393 vs. -1
0.341463 vs. 0
0.921027 vs. 1
0.236295 vs. 1
0.301065 vs. 1
0.640135 vs. 0
0.921027 vs. 1
0.236295 vs. 1
0.607686 vs. 1
0.236295 vs. 1
-0.739437 vs. 0
0.642166 vs. 1
0.642166 vs. 1
-0.493671 vs. 1
0.993047 vs. 1
0.640135 vs. 1
0.921027 vs. 1
0.751938 vs. 1
0.566959 vs. 1
-0.493671 vs. 1
-0.493671 vs. 1
-0.493671 vs. 1
-0.493671 vs. 1
0.809659 vs. 1
0.809659 vs. 1
0.642166 vs. 1
0.641393 vs. 0
0.236295 vs. 0
0.486486 vs. 1
0.301065 vs. 1
0.236295 vs. -1
0.642166 vs. 1
0.921027 vs. -1
0.640135 vs. 1
0.301065 vs. 1
0.686825 vs. 1
