1,1,6.19592,0.5815
1,2,6.18022,0.565799
1,3,6.155,0.540577
1,4,6.1389,0.524484
1,5,6.14727,0.532849
1,6,6.13693,0.522515
1,1,6.23415,0.588381
1,2,6.1884,0.542627
1,3,6.17152,0.525752
1,4,6.17167,0.525897
1,5,6.15186,0.506096
1,6,6.15799,0.512225
1,1,6.22501,0.582379
1,2,6.21249,0.569857
1,3,6.20514,0.562505
1,4,6.18661,0.543979
1,5,6.20272,0.560088
1,6,6.17426,0.531622
1,1,6.34077,0.682463
1,2,6.30136,0.643055
1,3,6.2661,0.607796
1,4,6.22891,0.570602
1,5,6.2017,0.543397
1,6,6.19117,0.532863
1,1,6.24228,0.602781
1,2,6.21291,0.573408
1,3,6.20302,0.563525
1,4,6.18008,0.540581
1,5,6.18762,0.548124
1,6,6.17112,0.531624
