0,1,6.18386,0.569441
0,2,6.18019,0.56577
0,3,6.15331,0.538892
0,4,6.15844,0.544019
0,5,6.15098,0.53656
0,6,6.14346,0.529038
0,1,6.19218,0.546409
0,2,6.19845,0.552682
0,3,6.16046,0.51469
0,4,6.17694,0.531167
0,5,6.16396,0.518188
0,6,6.1543,0.508529
0,1,6.21149,0.568856
0,2,6.19734,0.554703
0,3,6.2015,0.558865
0,4,6.18101,0.538375
0,5,6.19069,0.548054
0,6,6.19443,0.551794
0,1,6.2839,0.625592
0,2,6.28237,0.624062
0,3,6.20898,0.550669
0,4,6.21766,0.559356
0,5,6.19262,0.534316
0,6,6.19209,0.533785
0,1,6.2329,0.593403
0,2,6.23671,0.597215
0,3,6.18844,0.548945
0,4,6.19964,0.560145
0,5,6.13885,0.499355
0,6,6.1616,0.522103
